Taxon,Population,Mother tree voucher,Year planted,Current status
Eucalyptus erythrandra (E. angulosa × E. sweedmaniana),"Mount Baring, WA",1098,1995,Mature
Eucalyptus erythrocorys,"Eneabba, WA",265,1994,Mature
Eucalyptus erythrocorys,"Murchison House Station, WA",5540,2011,Mature
Eucalyptus erythrocorys,"Zuytdorp Cliffs, WA",5081,2010,Mature
Eucalyptus erythronema subsp. erythronema,"Bodallin, WA",3458,2001,Mature
Eucalyptus erythronema subsp. inornata,"Corrigin, WA",245,1994,Mature
Eucalyptus erythronema subsp. inornata,"Corrigin, WA",245,2000,Mature
Eucalyptus erythronema subsp. inornata,"Quairading, WA",3685,2001,Mature
Eucalyptus eudesmioides,"Bunjil, WA",279,1993,Mature
Eucalyptus eudesmioides,"Kennedy Range, WA",5740,2011,Immature
Eucalyptus eudesmioides,"Nerren Nerren Station, WA",2207,1999,Mature
Eucalyptus eugenioides,"Barrington, NSW",1235,1996,Mature
Eucalyptus formanii subsp. Broad-leaf,"Hunt Range, WA",5684,2011,Mature
Eucalyptus formanii subsp. formanii,"Diemals Station, WA",1567,1996,Mature
Eucalyptus formanii subsp. formanii,"Mount Manning Range, WA",5693,2011,Mature
Eucalyptus forrestiana,"Mount Ney, WA",6377,2013,Mature
Eucalyptus forrestiana,"Truslove, WA",160,1994,Mature
Eucalyptus fracta,"Broken Back Range, NSW",2081,1998,Mature
Eucalyptus fraseri subsp. fraseri,"Balladonia 1, WA",116,1993,Mature
Eucalyptus fraseri subsp. fraseri,"Balladonia 2, WA",3619,2001,Mature
Eucalyptus fraseri subsp. fraseri,"Dundas Nature Reserve, WA",3880,2002,Mature
Eucalyptus fraseri subsp. melanobasis,"Fraser Range 1, WA",128,1993,Mature
Eucalyptus fraseri subsp. melanobasis,"Fraser Range 2, WA",3642,2001,Mature
Eucalyptus fraxinoides,"Mount Budawang, NSW",601,1994,Matured then died
Eucalyptus fraxinoides,"Pikes Saddle, NSW",7366,2018,Immature
Eucalyptus fraxinoides,"Wadbilliga Trig, NSW",595,2002,Dead
Eucalyptus frenchiana,"Disappointment Rock, WA",3660,2001,Mature
Eucalyptus frenchiana,"Lake Johnston, WA",2286,1999,Mature
Eucalyptus froggattii,"Mitre, VIC",2583,2000,Mature
Eucalyptus froggattii,"Nurrabiel, VIC",453,1994,Mature
Eucalyptus fruticosa,"Gregory, WA",5567,2011,Mature
Eucalyptus fruticosa,"Kalbarri, WA",3532,2001,Mature
Eucalyptus fruticosa,"Lake Macleod, WA",1177,1995,Mature
Eucalyptus fulgens,"Tynong, VIC",1729,1997,Mature
Eucalyptus fusiformis,"Macksville, NSW",645,1994,Mature
Eucalyptus gamophylla,"Kings Canyon, WA",,1993,Mature
Eucalyptus gamophylla,"Telfer, WA",4269,2002,Immature
Eucalyptus gamophylla,"Warburton, WA",2678,2000,Mature
Eucalyptus gardneri subsp. gardneri,"Cadoux, WA",295,1993,Mature
Eucalyptus gardneri subsp. gardneri,"Cargannocking Hill, WA",3434,2001,Mature
Eucalyptus gardneri subsp. ravensthorpensis,"Ravensthorpe, WA",1636,1997,Mature
Eucalyptus georgei subsp. fulgida,"Forrestania, WA",323,1993,Mature
Eucalyptus georgei subsp. georgei,"Mount Day, WA",325,1993,Mature
Eucalyptus georgei subsp. georgei,"Mount Day, WA",325,1995,Mature
Eucalyptus gigantangion,"Kakadu Nat. Park, NT",2483,2011,Dead
Eucalyptus gillenii,"Dean Range, WA",2689,2000,Mature
Eucalyptus gillenii,"Dean Range, WA",2689,2002,Mature
Eucalyptus gillenii,"MacDonnell Ranges, NT",1209,1995,Mature
Eucalyptus gillenii (E. incurva),"Birksgate Range, SA",1703,1997,Mature
Eucalyptus gillenii × E. camaldulensis subsp. arida,"Dean Range, WA",2689,2000,Mature
Eucalyptus gillii,"Corona Station, NSW",2959,2000,Mature
Eucalyptus gillii,"Gammon Ranges, SA",1715,1997,Mature
Eucalyptus gittinsii subsp. gittinsii,"Kalbarri Nat. Park, WA",3533,2001,Mature
Eucalyptus gittinsii subsp. gittinsii,"Murchison River, WA",1170,1995,Mature
Eucalyptus gittinsii subsp. illucida,"Mount Misery, WA",252,1993,Mature
Eucalyptus glaucescens,"Guthega, NSW",7372,2018,Immature
Eucalyptus glaucescens,"Mount Kosciuszko, NSW",588,1994,Immature
Eucalyptus glaucina,"Casino, NSW",CSIRO 11239,1999,Mature
Eucalyptus glaucina,"Cessnock, NSW",6241,2013,Immature
Eucalyptus glaucina,"Dungog, NSW",2085,1998,Mature
Eucalyptus globoidea,"Tomerong, NSW",2905,2000,Mature
Eucalyptus globoidea (E. yangoura),"Stratford, VIC",1732,1997,Mature
Eucalyptus globoidea (E. yangoura),"Stratford, VIC",1732,2000,Mature
Eucalyptus globulus,"Cape Tourville, TAS",6722,2015,Immature
Eucalyptus globulus,"Kennett River, VIC",1726,1997,Mature
Eucalyptus globulus,"Nugent, TAS",1986,1998,Mature
Eucalyptus glomericassis,"Kakadu Nat. Park, NT",5219,2010,Immature
Eucalyptus glomerosa,"Voakes Hill, SA",1508,1996,Mature
Eucalyptus glomerosa,"Voakes Hill, SA",1508,2000,Mature
Eucalyptus glomerosa,"Warburton, WA",,1993,Mature
Eucalyptus gomphocephala,"Bunbury, WA",1148,1995,Mature
Eucalyptus gomphocephala × E. zopherophloia,"Jurien Bay, WA",7226,2017,Immature
Eucalyptus gongylocarpa,"Granite Peak, WA",4303,2002,Mature
Eucalyptus gongylocarpa,"Lake Minigwal, WA",519,1994,Matured then died
Eucalyptus goniantha subsp. goniantha,"Manypeaks 1, WA",1626,1997,Mature
Eucalyptus goniantha subsp. goniantha,"Manypeaks 2, WA",3754,2001,Mature
Eucalyptus goniantha subsp. kynoura,"Point Hillier, WA",3759,2001,Mature
Eucalyptus goniocalyx subsp. exposa,"Mount Aleck, SA",565,1994,Mature
Eucalyptus goniocalyx subsp. exposa,"St Mary Peak, SA",6388,2013,Immature
Eucalyptus goniocalyx subsp. fallax (E. cypellocarpa -,,,,
Eucalyptus goniocalyx subsp. goniocalyx,"Hill End, NSW",2952,2000,Mature
Eucalyptus goniocalyx subsp. laxa (E. cypellocarpa -,,,,
Eucalyptus goniocalyx subsp. viridissima,"Mount Arapiles, VIC",449,1994,Mature
Eucalyptus goniocalyx subsp. viridissima,"Victoria Range, VIC",3789,2002,Mature
Eucalyptus goniocarpa,"Lake King, WA",186,1993,Mature
Eucalyptus goniocarpa,"Lake King, WA",186,1996,Mature
Eucalyptus gracilis,"Coonalpyn, SA",444,1994,Mature
Eucalyptus gracilis,"Norseman, WA",3645,2001,Mature
Eucalyptus gracilis,"Point Avoid, SA",,1993,Mature
Eucalyptus grandis subsp. grandis,"Johns River , NSW",1237,1996,Mature
Eucalyptus grandis subsp. Northern,"Herberton, QLD",2524,1999,Mature
Eucalyptus granitica,"Herberton, QLD",1305,1996,Mature
Eucalyptus grasbyi,"Mount Manning Range, WA",5689,2011,Mature
Eucalyptus grasbyi,"Stewart, WA",6997,2017,Immature
Eucalyptus gregoriensis,"Victoria River Station, NT",2447,1999,Immature
Eucalyptus gregsoniana,"Mongarlowe, NSW",1756,1997,Mature
Eucalyptus griffithsii,"Broad Arrow, WA",4305,2002,Mature
Eucalyptus griffithsii,"Coonana, WA",515,1994,Mature
Eucalyptus griffithsii,"Fraser Range, WA",3637,2001,Mature
Eucalyptus grisea,"Carnarvon Range, QLD",1271,1996,Mature
Eucalyptus grossa,"Balladonia, WA",123,1993,Matured then died
Eucalyptus grossa,"Lake King, WA",7224,2017,Immature
Eucalyptus guilfoylei,"Bow Bridge, WA",1139,1995,Matured then died
Eucalyptus guilfoylei,"Mount Frankland, WA",4632,2017,Immature
Eucalyptus guilfoylei,"Walpole, WA",4632,2004,Dead
Eucalyptus gunnii subsp. divaricata,"Miena, TAS",4946,2006,Dead
Eucalyptus gunnii subsp. gunnii,"Black Bluff Range, TAS",1963,1998,Dead
Eucalyptus gunnii subsp. gunnii,"Snug Tiers, TAS",7407,2018,Immature
Eucalyptus gypsophila,"Serpentine Lakes, WA",1520,1996,Mature
Eucalyptus gypsophila,"Yumbarra Con. Park, SA",1405,1996,Mature
Eucalyptus gypsophila (E. infracorticata),"Lake Minigwal, WA",525,1994,Mature
Eucalyptus haemastoma,"Lake Macquarie, NSW",6795,2015,Immature
Eucalyptus haemastoma,"Sydney, NSW",631,1993,Matured then died
Eucalyptus hallii,"Goodwood, QLD",716,1994,Mature
Eucalyptus halophila,"Truslove, WA",155,1993,Mature
Eucalyptus hawkeri (E. microcarpa - E. wimmerensis intergrade),"Mount Arapiles, VIC",6916,2017,Immature
Eucalyptus hebetifolia,"Harrismith, WA",240,1993,Mature
Eucalyptus hebetifolia (E. medialis),"Stirling Range 1, WA",233,1993,Matured then died
Eucalyptus hebetifolia (E. medialis),"Stirling Range 2, WA",3562,2001,Mature
Eucalyptus helidonica,"Helidon Hills 1, QLD",2934,2000,Dead
Eucalyptus helidonica,"Helidon Hills 1, QLD",2935,2010,Immature
Eucalyptus helidonica,"Helidon Hills 2, QLD",6491,2013,Immature
Eucalyptus herbertiana,"Jasper Gorge, NT",6652,2015,Immature
Eucalyptus herbertiana,"Kakadu Nat. Park, NT",2482,1999,Immature
Eucalyptus herbertiana,"Kununurra, WA",1933,1998,Immature
Eucalyptus herbertiana,"Lake Julius, QLD",6403,2013,Mature
Eucalyptus histophylla,"Balladonia, WA",124,1993,Mature
Eucalyptus histophylla,"Balladonia, WA",124,1996,Mature
Eucalyptus histophylla,"Disappointment Rock, WA",3661,2001,Mature
Eucalyptus horistes subsp. horistes,"Binnu, WA",1169,1995,Mature
Eucalyptus horistes subsp. horistes,"Browns Soak, WA",7311,2018,Immature
Eucalyptus horistes subsp. horistes,"Fraser Range, WA",3643,2001,Mature
Eucalyptus horistes subsp. horistes,"Woodline Hills, WA",6985,2017,Immature
Eucalyptus horistes subsp. horistes,"Youanmi, WA",2756,2000,Mature
Eucalyptus horistes subsp. Southern smooth,"Cadoux, WA",2227,1999,Mature
Eucalyptus horistes subsp. Southern smooth,"Fitzgerald River, WA",5513,2011,Mature
Eucalyptus horistes subsp. Southern smooth,"Marvel Loch, WA",6691,2015,Immature
Eucalyptus houseana,"King Leopold Ranges, WA",1911,1997,Immature
Eucalyptus howittiana,"Valley of Lagoons, QLD",2526,1999,Mature
Eucalyptus hypolaena,"Coonana, WA",513,1994,Mature
Eucalyptus hypolaena,"Fraser Range, WA",3639,2002,Mature
Eucalyptus hypolaena,"Zanthus, WA",2303,1999,Mature
Eucalyptus hypostomatica,"Paxton, NSW",2080,1998,Mature
Eucalyptus imitans,"Nowra, NSW",615,1994,Mature
Eucalyptus imlayensis,"Mount Imlay, NSW",1748,1993,Matured then died
Eucalyptus impensa,"Eneabba 1, WA",264,1993,Matured then died
Eucalyptus impensa,"Eneabba 1, WA",264,1998,Mature
Eucalyptus impensa,"Eneabba 2, WA",3771,2001,Dead
Eucalyptus incerata,"Mount Day, WA",327,1993,Mature
Eucalyptus incerata,"Mount Holland, WA",4678,2006,Mature
Eucalyptus incrassata,"Boyatup Hill 1, WA",4571,2004,Mature
Eucalyptus incrassata,"Boyatup Hill 2, WA",4572,2004,Mature
Eucalyptus incrassata,"Cape Le Grand, WA",1638,1997,Mature
Eucalyptus incrassata,"Fraser Range, WA",4550,2004,Mature
Eucalyptus incrassata,"Harrismith, WA",3731,2001,Mature
Eucalyptus incrassata,"Hopetoun, WA",3706,2001,Mature
Eucalyptus incrassata,"Israelite Bay, WA",6005,2013,Mature
Eucalyptus incrassata,"Madura Beach, WA",2802,2000,Mature
Eucalyptus incrassata,"Ninety Mile Tank, WA",1108,1995,Mature
Eucalyptus incrassata,"Pingrup, WA",4796,2006,Mature
Eucalyptus incrassata,"Ravensthorpe, WA",1117,1995,Mature
Eucalyptus incrassata,"Sandy Hook Island, WA",4602,2004,Mature
Eucalyptus incrassata,"Twertup, WA",1129,1995,Mature
Eucalyptus incrassata,"Watheroo, WA",3698,2001,Mature
Eucalyptus incrassata (E. costata),"Bascombe Well, SA",,1992,Mature
Eucalyptus incrassata (E. costata),"Lochiel, SA",930,1995,Mature
Eucalyptus indurata,"Desmond, WA",3584,2001,Mature
Eucalyptus indurata,"Scaddan, WA",165,1993,Mature
Eucalyptus infera,"Durakai State Forest, QLD",6175,2013,Immature
Eucalyptus infera,"Warwick, QLD",1254,1996,Mature
Eucalyptus infera × E. tereticornis?,"Durakai State Forest, QLD",6175,2013,Immature
Eucalyptus insulana (E. lockyeri subsp. exuta),"Mareeba, QLD",1309,1996,Mature
Eucalyptus insularis subsp. continentalis,"Cape Le Grand, WA",1637,1997,Mature
Eucalyptus insularis subsp. continentalis,"Cape Le Grand, WA",1637,2011,Immature
Eucalyptus insularis subsp. insularis,"North Twin Peak Island, WA",4586,2006,Mature
Eucalyptus interstans,"Drake, NSW",667,1994,Mature
Eucalyptus lacrimans,"Adaminaby 2, NSW",7369,2018,Immature
Eucalyptus lactea (E. praecox),"Liverpool Range, NSW",759,1994,Matured then died
Eucalyptus lactea (E. praecox),"Wallerawang, NSW",7355,2018,Immature
Eucalyptus laeliae,"Serpentine, WA",1150,1995,Mature
Eucalyptus laevis,"Balladonia, WA",120,1993,Mature
Eucalyptus laevis,"Eyre Bird Observatory, WA",5966,2013,Mature
Eucalyptus laevis,"Fraser Range, WA",3635,2001,Mature
Eucalyptus laevis,"Kangawarie Rockhole, WA",6355,2013,Mature
Eucalyptus laevis,"Norseman, WA",3650,2001,Mature
Eucalyptus laevopinea,"Wollomombi, NSW",649,1994,Mature
Eucalyptus lanepoolei,"Badgingarra, WA",255,1993,Dead
Eucalyptus lanepoolei,"Mundijong, WA",3514,2001,Mature
Eucalyptus langleyi,"Nowra 1, NSW",613,1994,Matured then died
Eucalyptus langleyi,"Nowra 2, NSW",6791,2015,Immature
Eucalyptus lansdowneana,"Conical Hill, SA",5933,2013,Mature
Eucalyptus lansdowneana,"Scrubby Peak, SA",,1994,Mature
Eucalyptus lansdowneana,"Scrubby Peak, SA",,1998,Mature
Eucalyptus largeana,"Craven, NSW",2086,1998,Mature
Eucalyptus largiflorens,"Cooper Creek, SA",4172,2002,Mature
Eucalyptus largiflorens,"Loxton, SA",,1994,Mature
Eucalyptus largiflorens,"Mulyungarie, SA",2556,1999,Mature
Eucalyptus largiflorens,"Wentworth, NSW",980,1995,Mature
Eucalyptus latens,"Boxwood Hill, WA",5518,2011,Mature
Eucalyptus latens,"Boyagin Rock, WA",1613,1997,Mature
Eucalyptus latens,"Dragon Rocks, WA",4660,2004,Dead
Eucalyptus latens,"Lake Grace, WA",3722,2001,Mature
Eucalyptus latens,"Ongerup, WA",3742,2001,Mature
Eucalyptus latens,"Pingaring, WA",3436,2001,Mature
Eucalyptus lateritica,"Badgingarra 1, WA",259,1999,Dead
Eucalyptus lateritica,"Badgingarra 2, WA",3521,2001,Dead
Eucalyptus latisinensis,"Goodwood, QLD",715,1994,Immature
Eucalyptus lehmannii subsp. lehmannii,"Wellstead, WA",222,1996,Mature
Eucalyptus lehmannii subsp. parallela,"Cape Le Grand, WA",1639,1997,Mature
Eucalyptus lehmannii subsp. parallela,"Mount Arid, WA",6370,2013,Mature
Eucalyptus lehmannii subsp. parallela,"No Tree Hill, WA",3704,2001,Mature
Eucalyptus lehmannii subsp. parallela,"Stirling Range, WA",3561,2001,Mature
Eucalyptus lehmannii subsp. parallela,"Twertup, WA",1130,1995,Mature
Eucalyptus lehmannii subsp. parallela,"West Mount Barren, WA",4432,2004,Mature
Eucalyptus lehmannii subsp. parallela × E. megacornuta,"Desmond, WA",3577,2001,Mature
Eucalyptus leprophloia (E. accedens × E. zopherophloia),"Boothendarra Hill, WA",3519,2001,Mature
Eucalyptus leptocalyx subsp. leptocalyx,"Circle Valley, WA",3592,2001,Mature
Eucalyptus leptocalyx subsp. leptocalyx,"Grass Patch, WA",153,1993,Mature
Eucalyptus leptocalyx subsp. petilipes,"Mount Ney, WA",3616,2001,Mature
Eucalyptus leptophleba,"Laura, QLD",1313,1997,Immature
Eucalyptus leptophleba,"Walkamin, QLD",6422,2013,Immature
Eucalyptus leptophylla,"Kangaroo Island, SA",4736,2006,Mature
Eucalyptus leptophylla,"Little Desert, VIC",447,1994,Mature
Eucalyptus leptophylla,"Nyngan, NSW",6807,2017,Immature
Eucalyptus leptopoda subsp. arctata,"Ballidu, WA",291,1993,Mature
Eucalyptus leptopoda subsp. arctata,"Mullewa, WA",276,1993,Mature
Eucalyptus leptopoda subsp. arctata - E. oldfieldii intergrade,"Kalbarri Nat. Park, WA",5583,2011,Immature
Eucalyptus leptopoda subsp. elevata,"Wanna Lakes, WA",,1993,Mature
Eucalyptus leptopoda subsp. Glaucous,"Youanmi, WA",7315,2018,Immature
Eucalyptus leptopoda subsp. leptopoda,"Mukinbudin, WA",298,1993,Mature
Eucalyptus leptopoda subsp. subluta,"Callion, WA",336,1993,Mature
Eucalyptus leptopoda subsp. subluta,"Menzies, WA",2776,2000,Mature
Eucalyptus lesouefii,"Fraser Range, WA",3633,2001,Mature
Eucalyptus lesouefii,"Kalgoorlie, WA",549,1994,Mature
Eucalyptus leucophloia subsp. euroa,"Mount Isa, QLD",1332,1998,Immature
Eucalyptus leucophloia subsp. euroa,"Normanton, QLD",2498,1999,Mature
Eucalyptus leucophloia subsp. leucophloia,"Newman, WA",539,1994,Mature
Eucalyptus leucophylla,"Mount Isa, QLD",1331,1996,Mature
Eucalyptus leucophylla (E. limitaris),"Halls Creek, WA",1937,1997,Mature
Eucalyptus leucophylla (E. limitaris),"Mary River, WA",4236,2002,Immature
Eucalyptus leucophylla (E. tephrodes),"Halls Creek, WA",1941,1997,Immature
Eucalyptus leucophylla (E. tephrodes),"Newman, WA",1194,1995,Mature
Eucalyptus leucophylla (E. tropica),"Dajarra, QLD",4181,2002,Immature
Eucalyptus leucoxylon 'Royal Park',"Cultivar, nursery origin",,2013,Mature
Eucalyptus leucoxylon subsp. bellarinensis,"Torquay, VIC",460,1994,Mature
Eucalyptus leucoxylon subsp. leucoxylon,"Currency Creek, SA",Native,Remnant,Mature
Eucalyptus leucoxylon subsp. leucoxylon,"Victoria Range, VIC",3788,2002,Mature
Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),"Bacchus Marsh, VIC",2585,2000,Mature
Eucalyptus leucoxylon subsp. megalocarpa,"Nelson, VIC",4310,2004,Mature
Eucalyptus leucoxylon subsp. megalocarpa,"Nelson, VIC",4310,2011,Mature
Eucalyptus leucoxylon subsp. megalocarpa,"Nora Creina, SA",473,1994,Mature
Eucalyptus leucoxylon subsp. pruinosa,"Barham, NSW",2897,2000,Mature
Eucalyptus leucoxylon subsp. pruinosa,"Bordertown, SA",351,1994,Mature
Eucalyptus leucoxylon subsp. pruinosa,"Kingston SE, SA",1798,1997,Mature
Eucalyptus leucoxylon subsp. pruinosa,"Wilmington, SA",2566,1999,Mature
Eucalyptus leucoxylon subsp. stephaniae,"Little Desert, VIC",2581,2000,Mature
Eucalyptus leucoxylon subsp. stephaniae,"Nhill, VIC",1958,1998,Immature
Eucalyptus ligulata subsp. ligulata,"Cape Arid, WA",4576,2004,Mature
Eucalyptus ligulata subsp. ligulata,"Cape Arid, WA",4576,2011,Mature
Eucalyptus ligulata subsp. ligulata,"Cape Le Grand, WA",175,2002,Mature
Eucalyptus ligulata subsp. stirlingica,"Stirling Range, WA",3560,2001,Immature
Eucalyptus ligustrina,"Kings Tableland, NSW",624,2000,Mature
Eucalyptus lirata,"Mount Elizabeth Station, WA",1917,2010,Immature
Eucalyptus litoralis,"Anglesea, VIC",463,1993,Mature
Eucalyptus litorea,"Israelite Bay, WA",1094,1995,Mature
Eucalyptus litorea,"Point Malcolm, WA",6010,2013,Mature
Eucalyptus litorea (E. famelica),"Hopetoun, WA",199,1993,Mature
Eucalyptus livida,"North Ironcap, WA",318,1993,Mature
Eucalyptus lockyeri,"Herberton, QLD",6419,2013,Immature
Eucalyptus lockyeri,"Ravenshoe, QLD",1323,1996,Mature
Eucalyptus longicornis,"Lake Johnston 1, WA",2283,2000,Mature
Eucalyptus longicornis,"Lake Johnston 2, WA",2284,1999,Mature
Eucalyptus longicornis,"Wagin, WA",2241,1999,Mature
Eucalyptus longifolia,"Eden, NSW",1750,1997,Mature
Eucalyptus longifolia,"Ellabong, NSW",6249,2013,Immature
Eucalyptus longifolia,"Nowra, NSW",Brooker 4700,1994,Mature
Eucalyptus longirostrata,"Cracow, QLD",2112,1998,Mature
Eucalyptus longissima,"Menzies, WA",2184,2002,Mature
Eucalyptus longissima,"Norseman 1, WA",1569,1996,Mature
Eucalyptus longissima,"Norseman 2, WA",2160,2000,Mature
Eucalyptus longissima,"Norseman 3, WA",2163,2001,Mature
Eucalyptus loxophleba subsp. gratiae,"Harris Nature Reserve, WA",313,1993,Mature
Eucalyptus loxophleba subsp. lissophloia,"Norseman, WA",139,1993,Mature
Eucalyptus loxophleba subsp. loxophleba,"Tarin Rock, WA",239,1993,Mature
Eucalyptus loxophleba subsp. supralaevis,"Dongara, WA",1165,1995,Mature
Eucalyptus loxophleba subsp. supralaevis,"Mount Singleton, WA",5593,2011,Mature
Eucalyptus loxophleba subsp. supralaevis,"Murchison River, WA",2211,1999,Mature
Eucalyptus lucasii,"Kumarina roadhouse, WA",4283,2002,Mature
Eucalyptus lucasii,"Wiluna, WA",545,1994,Mature
Eucalyptus lucens,"Mount Hermannsburg, NT",1353,1996,Mature
Eucalyptus lucens,"Mount Hermannsburg, NT",1353,1999,Mature
Eucalyptus luculenta,"Mount Andrews, WA",4555,2004,Mature
Eucalyptus luculenta,"Mount Ney, WA",3618,2002,Mature
Eucalyptus luehmanniana,"Ku-Ring-Gai Chase, NSW",2910,2002,Dead
Eucalyptus luehmanniana,"Royal Nat. Park 1, NSW",621,1999,Dead
Eucalyptus luehmanniana,"Royal Nat. Park 2, NSW",6793,2015,Immature
Eucalyptus macarthurii,"Berrima, NSW",2071,1998,Matured then died
Eucalyptus macarthurii,"Boyd Plateau, NSW",6282,2013,Immature
Eucalyptus mackintii,"Bruthen, VIC",1737,1997,Mature
Eucalyptus macmahonii (E. phenax × E. wimmerensis),"Mitre, VIC",2582,2000,Mature
Eucalyptus macrandra,"Esperance, WA",6378,2013,Mature
Eucalyptus macrandra,"Gairdner River, WA",4430,2004,Mature
Eucalyptus macrandra,"Pallinup River, WA",1132,1995,Mature
Eucalyptus macrandra (E. olivacea),"Harris Nature Reserve, WA",312,1993,Mature
Eucalyptus macrandra (E. olivacea),"Williams, WA",1887,1997,Mature
Eucalyptus macrocarpa × E. pyriformis 'Nullarbor Lime',"Cultivar, nursery origin",,2013,Mature
Eucalyptus macrocarpa × E. youngiana 'Nullarbor Rose',"Cultivar, nursery origin",,2013,Immature
Eucalyptus macrocarpa subsp. elachantha,"Cataby, WA",250,1993,Mature
Eucalyptus macrocarpa subsp. macrocarpa,"Badgingarra, WA",261,1993,Mature
Eucalyptus macrocarpa subsp. macrocarpa,"Badgingarra, WA",261,1999,Mature
Eucalyptus macrocarpa subsp. macrocarpa,"Kulin, WA",3428,2001,Mature
Eucalyptus macrorhyncha subsp. cannonii,"Cullen Bullen, NSW",779,1994,Mature
Eucalyptus macrorhyncha subsp. macrorhyncha,"Grenfell, NSW",737,1994,Mature
Eucalyptus macrorhyncha subsp. macrorhyncha,"Sevenhill, SA",1675,1993,Mature
Eucalyptus macta,"Eungella Tableland, QLD",6449,2013,Immature
Eucalyptus macta,"Paluma, QLD",1301,1996,Mature
Eucalyptus magnificata,"Enmore, NSW",2945,2000,Mature
Eucalyptus maidenii,"Araluen, NSW",1764,1997,Mature
Eucalyptus major,"Helidon, QLD",2107,1998,Mature
Eucalyptus major,"Imbil, QLD",6486,2013,Immature
Eucalyptus malacoxylon,"Moonbi, NSW",1368,1996,Mature
Eucalyptus malacoxylon,"Nundle, NSW",2950,2000,Mature
Eucalyptus mannensis subsp. mannensis,"Giles, WA",,1993,Mature
Eucalyptus mannensis subsp. mannensis,"Mulga Rockhole, WA",6941,2017,Immature
Eucalyptus mannensis subsp. vespertina,"Shark Bay, WA",1171,1995,Mature
Eucalyptus mannifera 'Little Spotty',"Cultivar, nursery origin",,2013,Dead
Eucalyptus mannifera subsp. Alpine Victoria,"Beechworth, VIC",2066,1998,Immature
Eucalyptus mannifera subsp. Alpine Victoria,"Mount Buffalo, VIC",3799,2002,Mature
Eucalyptus mannifera subsp. Alpine Victoria,"Omeo, VIC",581,1994,Mature
Eucalyptus mannifera subsp. gullickii,"Nowra, NSW",609,1994,Mature
Eucalyptus mannifera subsp. mannifera,"Oallen, NSW",7364,2018,Immature
Eucalyptus marginata subsp. Dull leaf,"Nannup, WA",7220,2017,Immature
Eucalyptus marginata subsp. marginata,"Jilakin Rock, WA",4655,2017,Immature
Eucalyptus marginata subsp. marginata,"Manjimup, WA",1144,1995,Matured then died
Eucalyptus marginata subsp. marginata (subsp. elegantella),"Serpentine, WA",1151,1995,Dead
Eucalyptus marginata subsp. thalassica,"Gingin, WA",246,1993,Matured then died
Eucalyptus mckieana,"Tingha, NSW",659,1994,Mature
Eucalyptus mcquoidii,"Quoin Head, WA",3569,2001,Mature
Eucalyptus mediocris,"Carnarvon Range, QLD",2115,1998,Immature
Eucalyptus mediocris (E. irritans),"Mount Garnet, QLD",2525,1999,Immature
Eucalyptus megacarpa,"Mount Talyuberlup, WA",6705,2015,Immature
Eucalyptus megacarpa,"Two Peoples Bay, WA",1137,1995,Mature
Eucalyptus megacornuta,"Mount Desmont, WA",3578,2001,Mature
Eucalyptus megacornuta,"Ravensthorpe Range, WA",1121,1995,Mature
Eucalyptus melanoleuca,"Blackdown Tableland, QLD",706,1994,Mature
Eucalyptus melanoleuca,"Nanango, QLD",2111,1998,Mature
Eucalyptus melanophitra,"Pallinup River, WA",211,1993,Mature
Eucalyptus melanophloia subsp. melanophloia,"Carnarvon Range, QLD",1275,1996,Mature
Eucalyptus melanophloia subsp. melanophloia,"Jericho, QLD",1285,1996,Mature
Eucalyptus melanophloia subsp. melanophloia,"Miles, QLD",690,1994,Mature
Eucalyptus melanophloia subsp. nana,"Dajarra, QLD",4183,2002,Mature
Eucalyptus melanophloia subsp. nana,"Mount Isa, QLD",1330,1996,Mature
Eucalyptus melanophloia subsp. nana,"Mount Leichhardt, NT",5205,2010,Mature
Eucalyptus melanophloia subsp. nana,"Yindjirbi Range, NT",5203,2010,Mature
Eucalyptus melanoxylon,"Beete, WA",143,1993,Mature
Eucalyptus melliodora,"Rylstone, NSW",777,1994,Mature
Eucalyptus melliodora × E. sideroxylon,"Goolgowi, NSW",1219,1996,Mature
Eucalyptus melliodora 'Dwarf Pink',"Cultivar, nursery origin",,2013,Dead
Eucalyptus merrickiae,"Truslove 1, WA",156,1993,Mature
Eucalyptus merrickiae,"Truslove 2, WA",6016,2013,Immature
Eucalyptus michaeliana,"Hillgrove, NSW",650,1994,Mature
Eucalyptus micranthera,"Condingup, WA",172,1993,Mature
Eucalyptus micranthera,"Mount Ragged, WA",1090,1995,Mature
Eucalyptus microcarpa,"Boundary Bend, VIC",2895,2000,Immature
Eucalyptus microcarpa,"West Wyalong, NSW",1220,1996,Mature
Eucalyptus microcarpa Adelaide Variant,"Happy Valley, SA",1364,1996,Mature
Eucalyptus microcodon,"Lamington Plateau, QLD",5010,2010,Mature
Eucalyptus microcorys,"Johns River, NSW",1238,1996,Mature
Eucalyptus microcorys,"Johns River, NSW",1238,2000,Mature
Eucalyptus microneura,"Forsayth, QLD",1326,2000,Mature
Eucalyptus microtheca (E. cyanoclada),"Newcastle Creek, NT",1338,1996,Immature
Eucalyptus mimica subsp. continens,"Newdegate, WA",1114,1995,Mature
Eucalyptus mimica subsp. mimica,"Newdegate, WA",188,1993,Mature
