Taxon,Population,Mother tree voucher,Year planted,Current status
Corymbia ptychocarpa subsp. ptychocarpa,"King Leopold Ranges, WA",1912,2017,Immature
Corymbia ptychocarpa subsp. ptychocarpa,"Maranboy, NT",1343,1996,Dead
Corymbia rhodops,"Herberton, QLD",1306,1996,Immature
Corymbia scabrida,"Springsure, QLD",1278,1996,Mature
Corymbia serendipita,"Newcastle Range, QLD",2502,2010,Mature
Corymbia setosa subsp. pedicellaris,"Jericho, QLD",1286,1996,Immature
Corymbia setosa subsp. setosa,"Renner Springs, NT",2441,2017,Immature
Corymbia sphaerica,"Barrow Creek, NT",2437,2017,Immature
Corymbia stockeri subsp. peninsularis,"Battlecamp, QLD",1318,1996,Dead
Corymbia stockeri subsp. peninsularis,"Musgrave, QLD",2513,2010,Immature
Corymbia stockeri subsp. stockeri,"Lappa Junction, QLD",2507,2000,Dead
Corymbia stockeri subsp. stockeri (C. lamprophylla),"White Mountains, QLD",1290,1997,Dead
Corymbia terminalis,"Boulia, QLD",4175,2002,Dead
Corymbia terminalis,"Jasper Gorge, NT",2449,1999,Dead
Corymbia terminalis (C. tumescens),"Quilpie, QLD",2120,1998,Mature
Corymbia tessellaris,Unknown,,2017,Immature
Corymbia torelliana,Unknown,,2006,Immature
Corymbia trachyphloia subsp. amphistomatica,"Sandy Hollow, NSW",2084,1998,Mature
Corymbia trachyphloia subsp. amphistomatica,"Tara, QLD",684,1994,Mature
Corymbia trachyphloia subsp. trachyphloia,"Blencoe Falls, QLD",5128,2010,Immature
Corymbia trachyphloia subsp. trachyphloia,"Glasshouse Mountains, QLD",2110,1998,Immature
Corymbia trachyphloia subsp. trachyphloia,"Goodwood, QLD",714,1994,Immature
Corymbia trachyphloia subsp. trachyphloia,"Goodwood, QLD",714,2017,Immature
Corymbia umbonata,"Katherine, NT",2488,2010,Immature
Corymbia variegata,"Drake, NSW",1246,1996,Mature
Corymbia variegata,"Mount Barney, QLD",721,1994,Dead
Corymbia watsoniana subsp. capillata,"Expedition Range, QLD",2547,1999,Immature
Corymbia watsoniana subsp. capillata (C. catenaria),"Springsure, QLD",700,1994,Mature
Corymbia watsoniana subsp. watsoniana,"Barakula State Forest, QLD",688,1994,Mature
Corymbia xanthope,"Glen Geddes, QLD",Bean 753,1992,Immature
Corymbia xanthope,"Marlborough, QLD",2543,1999,Immature
